Image,R,G,B,His_AVG,His_STD,Label
144478165191.png,117,107,97,83,58,103
144478165191.png,120,110,99,76,59,103
144478165191.png,119,109,99,64,56,103
144478165191.png,119,109,99,66,48,103
295495113125.png,124,114,104,76,63,103
295495113125.png,131,121,111,88,58,103
295495113125.png,128,118,108,64,51,103
295495113125.png,131,121,110,72,47,103
295495113125.png,127,117,107,81,60,103
295495113125.png,127,117,107,78,61,103
295495113125.png,129,119,108,63,63,103
295495113125.png,130,120,110,67,67,103
295495113125.png,131,121,110,58,54,103
295495113125.png,124,114,104,76,63,103
295495113125.png,131,121,111,88,58,103
295495113125.png,128,118,108,64,51,103
295495113125.png,131,121,110,72,47,103
295495113125.png,127,117,107,81,60,103
295495113125.png,127,117,107,78,61,103
295495113125.png,129,119,108,63,63,103
295495113125.png,130,120,110,67,67,103
295495113125.png,131,121,110,58,54,103
306218139159.png,197,189,173,153,95,103
306218139159.png,202,194,178,131,92,103
306218139159.png,209,200,184,94,88,103
306218139159.png,192,184,168,106,91,103
306218139159.png,199,191,175,129,86,103
306218139159.png,202,194,179,145,78,103
306218139159.png,204,195,179,111,88,103
306218139159.png,204,196,179,148,91,103
306218139159.png,196,189,172,143,94,103
306218139159.png,197,189,173,153,95,103
306218139159.png,202,194,178,131,92,103
306218139159.png,209,200,184,94,88,103
306218139159.png,192,184,168,106,91,103
306218139159.png,199,191,175,129,86,103
306218139159.png,202,194,179,145,78,103
306218139159.png,204,195,179,111,88,103
306218139159.png,204,196,179,148,91,103
306218139159.png,196,189,172,143,94,103
306446145160.png,82,74,62,64,56,103
306446145160.png,85,77,66,46,45,103
306446145160.png,89,81,69,50,40,103
306446145160.png,83,75,63,60,49,103
306446145160.png,84,76,64,65,56,103
306446145160.png,85,78,65,61,57,103
306446145160.png,86,78,66,62,61,103
306446145160.png,89,81,69,55,57,103
306446145160.png,82,74,62,58,52,103
306446145160.png,82,74,62,64,56,103
306446145160.png,85,77,66,46,45,103
306446145160.png,89,81,69,50,40,103
306446145160.png,83,75,63,60,49,103
306446145160.png,84,76,64,65,56,103
306446145160.png,85,78,65,61,57,103
306446145160.png,86,78,66,62,61,103
306446145160.png,89,81,69,55,57,103
306446145160.png,82,74,62,58,52,103
306472113132.png,118,107,97,70,52,103
306472113132.png,118,108,97,68,50,103
306472113132.png,121,110,100,75,56,103
306472113132.png,120,109,99,70,47,103
306472113132.png,120,110,99,76,58,103
306472113132.png,118,108,97,79,56,103
306472113132.png,120,110,99,72,58,103
306472113132.png,120,110,99,73,59,103
306472113132.png,122,111,101,51,49,103
306472113132.png,118,107,97,70,52,103
306472113132.png,118,108,97,68,50,103
306472113132.png,121,110,100,75,56,103
306472113132.png,120,109,99,70,47,103
306472113132.png,120,110,99,76,57,103
306472113132.png,118,108,97,79,56,103
306472113132.png,120,110,99,72,58,103
306472113132.png,120,110,99,73,59,103
306472113132.png,122,111,101,51,49,103
307218139159.png,200,192,176,147,96,103
307218139159.png,203,195,179,129,88,103
307218139159.png,210,201,185,96,89,103
307218139159.png,192,183,167,98,92,103
307218139159.png,198,190,175,129,82,103
307218139159.png,205,197,181,138,77,103
307218139159.png,205,196,180,106,90,103
307218139159.png,204,196,180,157,92,103
307218139159.png,199,191,176,141,95,103
307218139159.png,200,192,176,147,96,103
307218139159.png,203,195,179,129,88,103
307218139159.png,210,201,185,96,90,103
307218139159.png,192,183,167,98,92,103
307218139159.png,198,190,175,129,82,103
307218139159.png,205,197,181,138,77,103
307218139159.png,205,196,180,106,90,103
307218139159.png,204,196,180,157,92,103
307218139159.png,199,191,176,141,95,103
307275103116.png,190,175,154,119,82,103
307275103116.png,187,172,151,108,75,103
307275103116.png,191,176,154,94,77,103
307275103116.png,189,174,152,110,72,103
307275103116.png,186,170,149,121,82,103
307275103116.png,185,170,149,125,90,103
307275103116.png,192,177,155,101,79,103
307275103116.png,195,179,157,127,95,103
307275103116.png,182,166,145,120,86,103
307275103116.png,190,175,154,119,82,103
307275103116.png,187,172,151,108,75,103
307275103116.png,191,176,154,94,77,103
307275103116.png,189,174,152,110,72,103
307275103116.png,186,170,149,121,82,103
307275103116.png,185,170,149,125,90,103
307275103116.png,192,177,155,101,79,103
307275103116.png,195,179,157,127,95,103
307275103116.png,182,166,145,120,85,103
308231144160.png,189,180,165,142,93,103
308231144160.png,184,174,158,106,86,103
308231144160.png,191,181,165,92,80,103
308231144160.png,181,172,156,98,88,103
308231144160.png,185,175,160,123,81,103
308231144160.png,187,178,162,143,81,103
308231144160.png,186,177,161,105,85,103
308231144160.png,188,179,162,145,91,103
308231144160.png,183,174,159,131,93,103
308231144160.png,189,180,165,142,93,103
308231144160.png,184,174,158,106,86,103
308231144160.png,191,181,165,92,80,103
308231144160.png,181,172,156,98,88,103
308231144160.png,185,175,160,123,81,103
308231144160.png,187,178,162,143,81,103
308231144160.png,186,177,161,105,85,103
308231144160.png,188,179,162,145,91,103
308231144160.png,183,174,159,131,93,103
308462112134.png,109,98,88,68,57,103
308462112134.png,110,101,89,66,47,103
308462112134.png,109,99,88,74,55,103
308462112134.png,109,99,88,77,49,103
308462112134.png,111,101,90,80,60,103
308462112134.png,109,99,88,86,63,103
308462112134.png,110,100,89,74,59,103
308462112134.png,111,101,89,72,61,103
308462112134.png,111,101,90,54,54,103
308462112134.png,109,98,88,68,57,103
308462112134.png,110,101,89,66,47,103
308462112134.png,109,99,88,74,55,103
308462112134.png,109,99,88,77,49,103
308462112134.png,111,101,90,80,60,103
308462112134.png,109,99,88,86,63,103
308462112134.png,110,100,89,74,59,103
308462112134.png,111,101,89,72,61,103
308462112134.png,111,101,90,54,54,103
528420132153.png,117,106,91,93,60,103
528420132153.png,117,106,91,58,46,103
528420132153.png,121,110,94,64,56,103
528420132153.png,115,104,89,70,60,103
528420132153.png,120,109,94,70,59,103
528420132153.png,118,107,92,90,61,103
528420132153.png,121,110,94,69,47,103
528420132153.png,119,108,92,55,41,103
528420132153.png,115,104,89,65,48,103
528420132153.png,117,106,91,93,60,103
528420132153.png,117,106,91,58,46,103
528420132153.png,121,110,94,64,56,103
528420132153.png,115,104,89,70,60,103
528420132153.png,120,109,94,70,59,103
528420132153.png,118,107,92,90,61,103
528420132153.png,121,110,94,69,47,103
528420132153.png,119,108,92,55,41,103
528420132153.png,115,104,89,65,48,103
528478110130.png,112,104,90,105,84,103
528478110130.png,123,115,101,98,74,103
528478110130.png,123,115,101,77,61,103
528478110130.png,122,113,99,88,72,103
528478110130.png,119,111,97,95,77,103
528478110130.png,126,118,104,90,80,103
528478110130.png,123,115,101,111,77,103
528478110130.png,123,114,100,86,63,103
528478110130.png,118,110,96,98,69,103
528478110130.png,112,104,90,105,84,103
528478110130.png,123,115,101,98,74,103
528478110130.png,123,115,101,77,61,103
528478110130.png,122,113,99,88,72,103
528478110130.png,119,111,97,95,77,103
528478110130.png,126,118,104,90,80,103
528478110130.png,123,115,101,111,77,103
528478110130.png,123,114,100,86,63,103
528478110130.png,118,110,96,98,69,103
529411131158.png,127,116,100,89,55,103
529411131158.png,122,111,96,62,46,103
529411131158.png,127,116,101,64,49,103
529411131158.png,123,113,97,68,62,103
529411131158.png,124,114,98,72,60,103
529411131158.png,124,113,98,86,66,103
529411131158.png,122,111,96,64,45,103
529411131158.png,127,117,100,58,40,103
529411131158.png,119,109,93,65,44,103
529411131158.png,127,116,100,89,55,103
529411131158.png,122,111,96,62,46,103
529411131158.png,127,116,101,65,49,103
529411131158.png,123,113,97,68,62,103
529411131158.png,124,114,98,72,60,103
529411131158.png,124,113,98,86,66,103
529411131158.png,122,111,96,64,45,103
529411131158.png,127,117,100,58,40,103
529411131158.png,119,109,93,65,44,103
531398152194.png,141,132,122,108,85,103
531398152194.png,137,128,118,80,59,103
531398152194.png,136,128,118,109,69,103
531398152194.png,138,130,120,97,79,103
531398152194.png,140,131,122,97,79,103
531398152194.png,139,130,121,122,83,103
531398152194.png,136,127,118,118,77,103
531398152194.png,141,132,122,82,71,103
531398152194.png,139,130,120,93,67,103
531398152194.png,141,132,122,108,85,103
531398152194.png,137,128,118,80,59,103
531398152194.png,136,128,118,109,69,103
531398152194.png,138,130,120,97,79,103
531398152194.png,140,131,122,97,79,103
531398152194.png,139,130,121,122,83,103
531398152194.png,136,127,118,118,77,103
531398152194.png,141,132,122,82,70,103
531398152194.png,139,130,120,93,67,103
531404128159.png,126,115,100,97,59,103
531404128159.png,122,111,97,65,46,103
531404128159.png,126,115,100,68,54,103
531404128159.png,122,112,96,67,61,103
531404128159.png,125,115,100,76,60,103
531404128159.png,126,115,101,84,54,103
531404128159.png,125,114,99,69,46,103
531404128159.png,126,116,100,60,41,103
531404128159.png,119,109,93,62,46,103
531404128159.png,126,115,100,97,59,103
531404128159.png,122,111,97,65,46,103
531404128159.png,126,115,100,68,54,103
531404128159.png,122,112,96,67,61,103
531404128159.png,125,115,100,76,60,103
531404128159.png,126,115,101,84,54,103
531404128159.png,125,114,99,69,46,103
531404128159.png,126,116,100,60,41,103
531404128159.png,119,109,93,62,46,103
57475183205.png,131,121,109,84,64,103
57475183205.png,132,122,109,96,70,103
57475183205.png,128,119,105,103,69,103
57475183205.png,136,127,114,101,82,103
57475183205.png,131,123,109,99,76,103
57475183205.png,133,124,111,97,69,103
57475183205.png,128,119,106,92,67,103
57475183205.png,134,124,111,77,73,103
57475183205.png,136,127,113,63,58,103
57475183205.png,131,121,109,84,64,103
57475183205.png,132,122,109,96,70,103
57475183205.png,128,119,105,103,69,103
57475183205.png,136,127,114,101,82,103
57475183205.png,131,123,109,99,76,103
57475183205.png,133,124,111,97,69,103
57475183205.png,128,119,106,92,67,103
57475183205.png,134,124,111,77,73,103
57475183205.png,136,127,113,63,58,103
723493171150.png,126,120,109,131,80,103
723493171150.png,126,122,110,114,74,103
723493171150.png,133,127,115,103,62,103
723493171150.png,124,119,108,97,66,103
723493171150.png,125,119,109,106,72,103
723493171150.png,127,121,110,103,66,103
723493171150.png,130,124,113,100,66,103
723493171150.png,125,118,107,90,57,103
723493171150.png,127,122,111,121,76,103
723493171150.png,126,120,109,131,80,103
723493171150.png,126,122,110,114,74,103
723493171150.png,133,127,115,103,62,103
723493171150.png,124,119,108,97,66,103
723493171150.png,125,119,109,106,72,103
723493171150.png,127,121,110,103,66,103
723493171150.png,130,124,113,100,66,103
723493171150.png,125,118,107,90,57,103
723493171150.png,127,122,111,120,76,103
748125167140.png,132,122,108,101,70,103
748125167140.png,131,120,107,98,62,103
748125167140.png,125,116,102,96,75,103
748125167140.png,128,118,105,91,65,103
748125167140.png,126,116,102,95,74,103
748125167140.png,128,118,104,87,75,103
748125167140.png,130,119,106,97,63,103
748125167140.png,123,113,99,118,67,103
748125167140.png,131,121,108,86,65,103
748125167140.png,132,122,108,101,70,103
748125167140.png,131,120,107,98,62,103
748125167140.png,125,116,102,96,75,103
748125167140.png,128,118,105,91,65,103
748125167140.png,126,116,102,94,74,103
748125167140.png,128,118,104,87,75,103
748125167140.png,130,119,106,97,63,103
748125167140.png,123,113,99,118,67,103
748125167140.png,131,121,108,86,65,103
778339159138.png,203,195,180,151,85,103
778339159138.png,222,215,198,127,86,103
778339159138.png,214,207,191,133,89,103
778339159138.png,213,206,190,129,85,103
778339159138.png,210,202,187,132,84,103
778339159138.png,222,214,199,112,93,103
778339159138.png,216,209,193,118,87,103
778339159138.png,209,201,185,145,81,103
778339159138.png,207,200,185,144,86,103
778339159138.png,203,195,180,151,85,103
778339159138.png,222,215,198,127,86,103
778339159138.png,214,207,191,133,89,103
778339159138.png,213,206,190,129,85,103
778339159138.png,210,202,187,132,84,103
778339159138.png,222,214,199,112,93,103
778339159138.png,216,209,193,118,87,103
778339159138.png,209,201,185,146,81,103
778339159138.png,207,200,185,144,86,103
779163164152.png,151,142,130,149,77,103
779163164152.png,139,130,117,94,59,103
779163164152.png,144,135,123,92,66,103
779163164152.png,150,141,128,93,65,103
779163164152.png,150,141,128,104,69,103
779163164152.png,147,138,126,107,69,103
779163164152.png,141,132,120,106,69,103
779163164152.png,152,143,132,105,68,103
779163164152.png,143,134,122,98,61,103
779163164152.png,151,142,130,149,77,103
779163164152.png,139,130,117,94,59,103
779163164152.png,144,135,123,92,66,103
779163164152.png,150,141,128,93,65,103
779163164152.png,150,141,128,104,69,103
779163164152.png,147,138,126,107,69,103
779163164152.png,141,132,120,106,69,103
779163164152.png,152,143,132,105,68,103
779163164152.png,143,134,122,98,61,103
779450168156.png,180,173,162,133,80,103
779450168156.png,200,193,181,113,75,103
779450168156.png,184,177,164,100,70,103
779450168156.png,188,181,169,95,66,103
779450168156.png,190,183,171,104,74,103
779450168156.png,192,185,173,118,77,103
779450168156.png,195,187,175,121,80,103
779450168156.png,181,174,162,125,72,103
779450168156.png,198,192,180,117,67,103
779450168156.png,180,173,162,133,80,103
779450168156.png,200,193,181,113,76,103
779450168156.png,184,177,164,100,70,103
779450168156.png,188,181,169,95,66,103
779450168156.png,190,183,171,104,74,103
779450168156.png,192,185,173,117,76,103
779450168156.png,195,187,175,121,80,103
779450168156.png,181,174,162,125,72,103
779450168156.png,198,192,180,117,67,103
1162669895.png,104,90,80,83,81,11
1162669895.png,101,88,78,71,78,11
1162669895.png,103,89,79,71,74,11
1162669895.png,100,85,76,75,70,11
1162669895.png,103,88,79,66,71,11
1162669895.png,104,91,81,66,74,11
1162669895.png,102,88,79,79,67,11
1162669895.png,104,89,80,76,73,11
1162669895.png,99,85,76,76,72,11
1162669895.png,104,90,80,83,81,11
1162669895.png,101,88,78,71,78,11
1162669895.png,103,89,79,71,74,11
1162669895.png,100,85,76,75,70,11
1162669895.png,103,88,79,66,71,11
1162669895.png,104,91,81,66,74,11
1162669895.png,102,88,79,79,67,11
1162669895.png,104,89,80,76,73,11
1162669895.png,99,85,76,76,72,11
168210110112.png,170,139,108,141,89,11
168210110112.png,166,136,104,120,73,11
168210110112.png,177,146,114,130,83,11
168210110112.png,179,147,116,128,79,11
168210110112.png,164,134,102,142,82,11
168210110112.png,169,138,107,104,75,11
168210110112.png,168,137,106,131,79,11
168210110112.png,179,148,117,125,79,11
168210110112.png,171,140,109,121,74,11
168210110112.png,170,139,108,141,89,11
168210110112.png,166,136,104,120,73,11
168210110112.png,177,146,114,130,83,11
168210110112.png,179,147,116,128,79,11
168210110112.png,164,134,102,142,82,11
168210110112.png,169,138,107,104,75,11
168210110112.png,168,137,106,131,79,11
168210110112.png,179,148,117,125,79,11
168210110112.png,171,140,109,121,74,11
170345121140.png,86,71,56,59,72,11
170345121140.png,86,70,55,55,67,11
170345121140.png,89,74,59,48,63,11
170345121140.png,88,73,58,51,67,11
170345121140.png,88,72,58,51,62,11
170345121140.png,84,68,54,52,66,11
170345121140.png,87,72,57,53,67,11
170345121140.png,90,75,60,53,66,11
170345121140.png,88,72,58,56,68,11
170345121140.png,86,71,56,59,72,11
170345121140.png,86,70,55,55,67,11
170345121140.png,89,74,59,48,63,11
170345121140.png,88,73,58,51,67,11
170345121140.png,88,72,58,51,62,11
170345121140.png,84,68,54,52,66,11
170345121140.png,87,72,57,53,67,11
170345121140.png,90,75,60,53,66,11
170345121140.png,88,72,58,56,68,11
171199106123.png,160,129,98,130,81,11
171199106123.png,165,134,103,141,81,11
171199106123.png,177,146,115,122,74,11
171199106123.png,175,144,113,124,81,11
171199106123.png,170,139,108,136,85,11
171199106123.png,161,130,99,117,69,11
171199106123.png,170,139,108,124,72,11
171199106123.png,177,146,115,131,76,11
171199106123.png,175,144,113,130,79,11
171199106123.png,160,129,98,130,81,11
171199106123.png,165,134,103,141,81,11
171199106123.png,177,146,115,122,74,11
171199106123.png,175,144,113,124,81,11
171199106123.png,170,139,108,136,85,11
171199106123.png,161,130,99,117,69,11
171199106123.png,170,139,108,124,72,11
171199106123.png,177,146,115,131,76,11
171199106123.png,175,144,113,130,79,11
181427119132.png,77,62,47,52,66,11
181427119132.png,80,65,50,50,67,11
181427119132.png,80,65,49,47,68,11
181427119132.png,82,67,52,47,67,11
181427119132.png,78,63,48,49,65,11
181427119132.png,78,63,48,51,65,11
181427119132.png,80,65,50,48,67,11
181427119132.png,80,66,51,51,70,11
181427119132.png,80,66,50,51,71,11
181427119132.png,77,62,47,52,66,11
181427119132.png,80,65,50,50,67,11
181427119132.png,80,65,49,47,68,11
181427119132.png,82,67,52,47,67,11
181427119132.png,78,63,48,49,65,11
181427119132.png,78,63,48,51,65,11
181427119132.png,80,65,50,48,67,11
181427119132.png,80,66,51,51,70,11
181427119132.png,80,66,50,51,71,11
182198107120.png,170,139,108,130,81,11
182198107120.png,174,144,113,140,84,11
182198107120.png,183,153,122,118,72,11
182198107120.png,178,148,116,130,77,11
182198107120.png,175,144,113,149,76,11
182198107120.png,167,137,106,124,76,11
182198107120.png,183,152,121,125,76,11
182198107120.png,184,153,122,126,81,11
182198107120.png,174,144,113,133,81,11
182198107120.png,170,139,108,130,81,11
182198107120.png,174,144,113,140,84,11
182198107120.png,183,153,122,119,72,11
182198107120.png,178,148,116,130,77,11
182198107120.png,175,144,113,149,76,11
182198107120.png,167,137,106,124,76,11
182198107120.png,183,152,121,125,76,11
182198107120.png,184,153,122,127,80,11
182198107120.png,174,144,113,133,81,11
182429119132.png,74,60,45,51,65,11
182429119132.png,78,63,48,51,66,11
182429119132.png,78,64,49,50,68,11
182429119132.png,78,64,49,49,66,11
182429119132.png,75,61,46,50,69,11
182429119132.png,76,61,47,52,65,11
182429119132.png,78,63,49,48,67,11
182429119132.png,78,63,48,49,66,11
182429119132.png,78,63,48,51,68,11
182429119132.png,74,60,45,51,65,11
182429119132.png,78,63,48,51,66,11
182429119132.png,78,64,49,50,68,11
182429119132.png,78,64,49,49,66,11
182429119132.png,75,61,46,50,69,11
182429119132.png,76,61,47,52,65,11
182429119132.png,78,63,49,48,67,11
182429119132.png,78,63,48,49,66,11
182429119132.png,78,63,48,51,68,11
186184106119.png,153,124,94,120,73,11
186184106119.png,154,124,93,123,72,11
186184106119.png,158,129,97,108,76,11
186184106119.png,157,127,96,115,73,11
186184106119.png,153,123,93,126,74,11
186184106119.png,148,119,88,125,82,11
186184106119.png,161,131,100,124,79,11
186184106119.png,160,130,99,129,76,11
186184106119.png,152,122,92,122,79,11
186184106119.png,153,124,94,120,73,11
186184106119.png,154,124,93,123,72,11
186184106119.png,158,129,97,108,76,11
186184106119.png,157,127,96,115,73,11
186184106119.png,153,123,93,126,74,11
186184106119.png,148,119,88,126,82,11
186184106119.png,161,131,100,124,79,11
186184106119.png,160,130,99,129,76,11
186184106119.png,152,122,92,122,79,11
19322296108.png,165,132,99,103,69,11
19322296108.png,165,133,100,105,68,11
19322296108.png,174,142,109,92,65,11
19322296108.png,170,138,105,98,65,11
19322296108.png,168,136,103,113,75,11
19322296108.png,162,129,97,125,83,11
19322296108.png,171,139,107,116,80,11
19322296108.png,175,143,110,112,75,11
19322296108.png,166,134,101,115,83,11
19322296108.png,165,132,99,103,69,11
19322296108.png,165,133,100,106,68,11
19322296108.png,174,142,109,93,65,11
19322296108.png,170,138,105,98,65,11
19322296108.png,168,136,103,113,75,11
19322296108.png,162,129,97,125,83,11
19322296108.png,171,139,107,116,80,11
19322296108.png,175,143,110,112,75,11
19322296108.png,166,134,101,115,83,11
19575121134.png,128,100,72,112,77,11
19575121134.png,129,102,74,107,73,11
19575121134.png,130,104,75,93,57,11
19575121134.png,135,109,80,106,73,11
19575121134.png,129,102,73,111,75,11
19575121134.png,130,103,74,117,88,11
19575121134.png,127,100,72,118,76,11
19575121134.png,134,108,79,115,77,11
19575121134.png,135,108,80,100,77,11
19575121134.png,128,100,72,112,77,11
19575121134.png,129,102,74,107,73,11
19575121134.png,130,104,75,93,58,11
19575121134.png,135,109,80,106,73,11
19575121134.png,129,102,73,111,75,11
19575121134.png,130,103,74,117,88,11
19575121134.png,127,100,72,118,76,11
19575121134.png,134,108,79,115,77,11
19575121134.png,135,108,80,100,76,11
330165112131.png,240,204,159,100,74,11
330165112131.png,237,200,154,85,65,11
330165112131.png,236,199,153,106,72,11
330165112131.png,229,192,146,113,62,11
330165112131.png,237,200,155,132,77,11
330165112131.png,239,202,156,132,80,11
330165112131.png,234,197,151,108,73,11
330165112131.png,236,200,154,96,76,11
330165112131.png,227,191,145,90,66,11
330165112131.png,240,204,159,100,74,11
330165112131.png,237,200,154,85,65,11
330165112131.png,236,199,153,106,72,11
330165112131.png,229,192,146,113,62,11
330165112131.png,237,200,155,132,77,11
330165112131.png,239,202,156,132,80,11
330165112131.png,234,197,151,108,73,11
330165112131.png,236,200,154,96,76,11
330165112131.png,227,191,145,90,66,11
34220898114.png,230,193,144,140,75,11
34220898114.png,222,184,134,83,58,11
34220898114.png,216,178,129,100,73,11
34220898114.png,224,187,138,126,73,11
34220898114.png,234,201,151,129,78,11
34220898114.png,224,187,137,127,78,11
34220898114.png,218,180,130,97,73,11
34220898114.png,224,187,138,95,64,11
34220898114.png,233,198,148,95,65,11
34220898114.png,230,193,144,140,75,11
34220898114.png,222,184,134,83,58,11
34220898114.png,216,178,129,100,73,11
34220898114.png,224,187,138,126,73,11
34220898114.png,234,201,151,129,78,11
34220898114.png,224,187,137,127,78,11
34220898114.png,218,180,130,97,73,11
34220898114.png,224,187,138,95,64,11
34220898114.png,233,198,148,95,65,11
376112116134.png,201,164,122,111,65,11
376112116134.png,198,160,118,100,63,11
376112116134.png,190,152,110,73,67,11
376112116134.png,191,154,113,98,66,11
376112116134.png,199,162,120,113,77,11
376112116134.png,198,160,119,117,76,11
376112116134.png,194,156,115,104,64,11
376112116134.png,186,148,107,95,58,11
376112116134.png,196,158,116,83,58,11
376112116134.png,201,164,122,111,65,11
376112116134.png,198,160,118,100,63,11
376112116134.png,190,152,110,73,68,11
376112116134.png,191,154,113,98,66,11
376112116134.png,199,162,120,113,77,11
376112116134.png,198,160,119,117,76,11
376112116134.png,194,156,115,104,64,11
376112116134.png,186,148,107,95,58,11
376112116134.png,196,158,116,83,58,11
55120098115.png,158,126,93,83,61,11
55120098115.png,174,142,109,71,49,11
55120098115.png,168,136,103,74,59,11
55120098115.png,171,139,107,88,55,11
55120098115.png,163,131,98,96,65,11
55120098115.png,166,134,101,65,53,11
55120098115.png,171,139,107,82,54,11
55120098115.png,167,135,103,77,63,11
55120098115.png,171,139,106,80,52,11
55120098115.png,158,126,93,83,61,11
55120098115.png,174,142,109,71,49,11
55120098115.png,168,136,103,74,59,11
55120098115.png,171,139,107,88,55,11
55120098115.png,163,131,98,96,65,11
55120098115.png,166,134,101,65,53,11
55120098115.png,171,139,107,82,54,11
55120098115.png,167,135,103,77,63,11
55120098115.png,171,139,106,80,52,11
578194111134.png,202,168,132,131,81,11
578194111134.png,211,177,142,101,68,11
578194111134.png,210,175,139,90,59,11
578194111134.png,211,177,141,110,69,11
578194111134.png,200,165,130,114,68,11
578194111134.png,211,176,141,86,57,11
578194111134.png,206,171,135,111,72,11
578194111134.png,211,177,141,110,63,11
578194111134.png,206,172,136,132,71,11
578194111134.png,202,168,132,131,81,11
578194111134.png,211,177,142,101,68,11
578194111134.png,210,175,139,90,59,11
578194111134.png,211,177,141,110,69,11
578194111134.png,200,165,130,114,68,11
578194111134.png,211,176,141,86,58,11
578194111134.png,206,171,135,111,72,11
578194111134.png,211,177,141,110,64,11
578194111134.png,206,172,136,132,71,11
578474119101.png,96,75,54,70,68,11
578474119101.png,97,76,55,61,69,11
578474119101.png,94,73,53,67,70,11
578474119101.png,91,71,52,69,73,11
578474119101.png,92,71,50,71,73,11
578474119101.png,96,74,54,59,72,11
578474119101.png,94,73,53,70,71,11
578474119101.png,92,71,51,80,75,11
578474119101.png,89,68,49,69,66,11
578474119101.png,96,75,54,70,68,11
578474119101.png,97,76,55,61,69,11
578474119101.png,94,73,53,67,70,11
578474119101.png,91,71,52,69,73,11
578474119101.png,92,71,50,71,73,11
578474119101.png,96,74,54,59,72,11
578474119101.png,94,73,53,70,71,11
578474119101.png,92,71,51,80,75,11
578474119101.png,89,68,49,69,66,11
59441492108.png,232,210,167,122,79,11
59441492108.png,224,203,161,69,63,11
59441492108.png,225,204,163,90,68,11
59441492108.png,228,206,166,90,79,11
59441492108.png,229,208,167,109,80,11
59441492108.png,228,206,164,103,69,11
59441492108.png,225,203,161,90,70,11
59441492108.png,226,205,164,80,62,11
59441492108.png,229,208,167,105,75,11
59441492108.png,232,210,167,122,79,11
59441492108.png,224,203,161,68,63,11
59441492108.png,225,204,163,90,68,11
59441492108.png,228,206,166,90,79,11
59441492108.png,229,208,167,108,80,11
59441492108.png,228,206,164,103,69,11
59441492108.png,225,203,161,90,70,11
59441492108.png,226,205,164,80,62,11
59441492108.png,229,208,167,105,75,11
626384100116.png,205,178,136,112,81,11
626384100116.png,199,170,128,77,60,11
626384100116.png,195,167,125,96,71,11
626384100116.png,200,171,129,91,76,11
626384100116.png,195,167,125,123,84,11
626384100116.png,207,179,137,118,74,11
626384100116.png,198,169,127,108,75,11
626384100116.png,202,175,132,96,69,11
626384100116.png,197,168,126,114,79,11
626384100116.png,205,178,136,112,81,11
626384100116.png,199,170,128,77,60,11
626384100116.png,195,167,125,96,71,11
626384100116.png,200,171,129,91,76,11
626384100116.png,195,167,125,123,84,11
626384100116.png,207,179,137,118,74,11
626384100116.png,198,169,127,108,75,11
626384100116.png,202,175,132,96,69,11
626384100116.png,197,168,126,113,79,11
632499108124.png,163,136,106,84,81,11
632499108124.png,158,130,100,62,54,11
632499108124.png,161,134,104,63,46,11
632499108124.png,164,137,107,76,55,11
632499108124.png,165,137,107,105,80,11
632499108124.png,157,130,100,86,64,11
632499108124.png,154,126,97,78,65,11
632499108124.png,169,142,113,50,54,11
632499108124.png,161,134,104,70,66,11
632499108124.png,163,136,106,84,81,11
632499108124.png,158,130,100,62,54,11
632499108124.png,161,134,104,63,46,11
632499108124.png,164,137,107,76,55,11
632499108124.png,165,137,107,105,79,11
632499108124.png,157,130,100,86,64,11
632499108124.png,154,126,97,78,65,11
632499108124.png,169,142,113,50,54,11
632499108124.png,161,134,104,70,66,11
7363179391.png,84,70,59,71,79,11
7363179391.png,80,66,55,71,82,11
7363179391.png,81,67,56,77,79,11
7363179391.png,82,67,56,72,72,11
7363179391.png,79,65,55,61,72,11
7363179391.png,83,69,57,67,73,11
7363179391.png,79,65,54,73,68,11
7363179391.png,86,72,60,67,70,11
7363179391.png,79,64,54,68,75,11
7363179391.png,84,70,59,71,79,11
7363179391.png,80,66,55,71,82,11
7363179391.png,81,67,56,77,79,11
7363179391.png,82,67,56,72,72,11
7363179391.png,79,65,55,61,72,11
7363179391.png,83,69,57,67,73,11
7363179391.png,79,65,54,73,68,11
7363179391.png,86,72,60,67,70,11
7363179391.png,79,64,54,68,75,11
136173113124.png,185,152,117,123,74,12
136173113124.png,183,149,114,94,65,12
136173113124.png,185,151,115,101,66,12
136173113124.png,178,145,109,126,76,12
136173113124.png,177,143,108,130,75,12
136173113124.png,185,152,116,123,81,12
136173113124.png,183,150,114,100,71,12
136173113124.png,185,152,116,128,84,12
136173113124.png,178,144,109,112,69,12
136173113124.png,185,152,117,123,74,12
136173113124.png,183,149,114,94,65,12
136173113124.png,185,151,115,101,66,12
136173113124.png,178,145,109,126,76,12
136173113124.png,177,143,108,130,75,12
136173113124.png,185,152,116,123,81,12
136173113124.png,183,150,114,100,71,12
136173113124.png,185,152,116,128,84,12
136173113124.png,178,144,109,112,69,12
14829289107.png,164,131,99,115,67,12
14829289107.png,166,132,100,105,59,12
14829289107.png,163,129,97,100,58,12
14829289107.png,164,130,99,99,68,12
14829289107.png,174,140,108,93,64,12
14829289107.png,159,125,93,104,72,12
14829289107.png,167,132,101,74,52,12
14829289107.png,163,129,97,97,60,12
14829289107.png,170,136,104,105,63,12
14829289107.png,164,131,99,115,67,12
14829289107.png,166,132,100,105,59,12
